Метод,Время (секунды)
Пул потоков (concurrent.futures),51.40177099999994сек.
Пул процессов (multiprocessing.Pool),1.1383998000001156сек.
Отдельные процессы + Очереди,65.06291110000006сек.
Последовательная обработка,6.089141400000017сек.
